ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID
453161,aka,saa nkramai mienu no,"saa\\tnkrama-i\\tfɛfɛɛfɛ\\tmienu\\tno","that.DEF\\tdog.SBJ-PL\\tbeautiful\\ttwo\\tDEF",Those two beautiful dogs,,,
453162,aka,ɔbaa ɔɔtu nyom wɔ asɔre no ,"ɔbaa\\tɔɔ-tu\\tnyom\\twɔ\\tasɔre\\tno","woman.SBJ\\t-\\tsong\\tLOC\\tchurch\\tDEF",The lady singing in the church/choir,,,
453163,aka,akwadaa ɛɛba yɛ hɔ no ,"akwadaa\\tɛɛ-ba\\tyɛ\\thɔ\\tno","child.SBJ\\t-come.VEN\\t\\tthere.DXS.PROX\\tDEF",The child coming towards us,,,
453164,aka,akwadaa ɛɛba yɛ hɔ no  ,"akwadaa\\tɛɛ-ba\\tyɛ\\thɔ\\tno","child.SBJ\\t-come.VEN\\tdo\\tthere.DXS.PROX\\tDEF",,,,
453165,aka,nkoadaa fɛfɛɛfɛ no nyinaa ɛɛbayɛ ho na omɔshɛ atadeɛ kɔkɔɔ no ,"n-akwadaa\\tfɛfɛɛfɛ\\tno\\tnyinaa\\tɛɛ-ba\\tyɛ\\tho\\tna\\tomɔ-shɛ\\tatadeɛ\\tkɔkɔɔ\\tno","PL-child.SBJ\\tbeautiful\\tDEF\\tall.DEF\\t-come.VEN\\tbe\\tthere.DXS.PROX\\tFOC\\t3PL-wear\\tdress\\tred\\tDEF",All the handsome children coming towards us they wear red dresses.,,,
453166,aka,bɛɛma ɔɔbɔ bɔɔlu no,"bɛɛma\\tɔɔ-bɔ\\tbɔɔlu\\tno","man.SBJ\\t-play\\tfootball.OBJ\\tDEF",The man playing the football,,,
453167,aka,Kwesi bɛyɛ edzuma no.,"Kwesi\\tbɛ-yɛ\\tedzuma\\tno","SBJ\\tFUT.H-do\\twork.OBJ\\tDEF",the future work doing Kwesi ,,,
453168,aka,obɛdzi edziban no.,"o-bɛ-dzi\\tedziban\\tno","3SG.SBJ-FUT.H-eat\\tfood.OBJ\\tDEF",S/he will eat the food,,,
454877,aka,mbáá nó nòá-à ǹdùań pìí,"m-báá\\tnó\\tnòá-à\\tǹ-dùań\\tpìí","PL-women\\tDEF\\tcook-PAST\\tPL-food.OBJ\\tplenty",The women cooked a lot of food.,,,
454878,aka,òbí frέ-ὲ mè ànáa,"òbí\\tfrέ-ὲ\\tmè\\tànáa","someone.INDEF\\tcall-PAST\\t1SG.OBJ\\t",Did someone call me?,,,
454879,aka,ↄ’ nòá-à àdùané,"ↄ’\\tnòá-à\\tàdùané","3SG.SBJ\\tcook-PAST\\tfood.OBJ",he/ she cooked food.,,,
454880,aka,ásíèdù k ↄ’ ↄ’ sùkúù ndέrá,"ásíèdù\\tkↄ’-ↄ’\\tsùkúù\\tndέrá","\\tgo.ITV-PAST\\tschool\\tyesterday",ásíèdù went to school yesterday.,,,
454881,aka,ↄ’ kyèrέw-w nhómá,"ↄ’\\tkyèrέw-w\\tn-hómá","3SG.SBJ\\twrite-PAST\\tPL-letter.OBJ",he wrote the letters.,,,
454882,aka,mè bá-è nò ná ↄ rè-dìdí,"mè\\tbá-è\\tno\\tná\\tↄ\\trè-dìdí","I.1SG.SBJ\\tcome-PAST\\thim.3SG.OBJ\\t\\t3SG\\tPROG-eat.REDP",I came to him while he was eating.,,,
454883,aka,mè bá-è nò ná ↄ’ dìdí,"mè\\tbá-è\\tno\\tná\\tↄ’\\tdì-dí","I.1SG.OBJ\\tcome-PAST\\thim.3SG.OBJ\\t\\t3SG.SBJ\\teat-REDP",I came to him when he was eating.,,,
454884,aka,ná ↄ’ kyèrέw nhómá,"ná\\tↄ’\\tkyèrέw\\tn-hómá","FOC\\t3SG.SBJ\\twrite\\tPL-letter.OBJ",He writes letters.,,,
454885,aka,o dù-ì,"o\\tdù-ì","3SG.SBJ\\t-PAST",,,,
454886,aka,o dìdí-ì,"o\\tdìdí-ì","3SG.SBJ\\teat.REDP-PAST",he ate.,,,
454887,aka,shá,shá,wash/clean,wash/clean,,,
454889,aka,papa lɛ,"papa\\tlɛ","man.SBJ\\tDEF",The man,,,
454219,aka,Adwumawura no ma ɔgyae adwuma,"adwuma-wura\\tno\\tma\\tɔ-gyae\\tadwuma","work-owner\\tDEF\\tCAUS\\t3SG.SBJ-stop\\twork",The boss made him/her stop working,,,
454220,aka,sε adwumawura ma obi a ne mbere aso pɔn ne ho a ɛde anigyeɛ ba,"sε\\tadwuma-wura\\tma\\tobi\\ta\\tne\\tm-merε\\ta-so\\tpɔn\\tne\\tho\\ta\\tɛ-de\\tanigyeɛ\\tba","COND\\twork-owner\\tgive\\tsomeone\\tREL\\tPOSS.3SG\\tPL-time\\tPRF-up\\tclose\\tPOSS.3SG\\tbody\\t\\t3SG-take\\thappiness\\tcome","If the Boss allows an apprentice whose time is up to graduate, it brings happiness",,,
454403,aka,"Da bi, ananse kɔtuu bayerɛ akɛseɛ dɛdɛ bi firi n'afuo mu","da\\tbi\\tananse\\tkɔ-tu-u\\tbayerɛ\\ta-kɛseɛ\\tdɛ-dɛ-bi\\tfiri\\tn'-afuo\\tmu","day\\tINDEF\\tspider\\tgo.VEN-dig-PAST\\tyam.OBJ\\tPL-big\\tREDP-sweet-INDEF\\tleave\\tPOSS.3SG-farm\\tinside","One day, Spider went to uproot some big and tasty yams from his farm",,,
454404,aka,ɔnyaa abotare totoo bayerɛ no ma na etu hwa yie,"ɔ-nya-a\\tabotare\\tto-to-o\\tbayerɛ\\tno\\tma\\tna\\te-tu\\thwa\\tyie","3SG.SBJ-get-PAST\\tpatience\\tREDP-roast-PAST\\tyam\\tDEF\\tCAUS\\tCONJ\\t3SG.INANIM-fly\\tsmell_nicely\\ta_lot",He patiently roasted the yam and it smelled very well,,,
454405,aka,ɛsiane sɛ na ɛyɛ dɛ nti na ɔpɛ sɛ ɔdi no ntɛm,"ɛsiane\\tsɛ\\tna\\tɛ-yɛ\\tdɛ\\tnti\\tna\\tɔ-pɛ\\tsɛ\\tɔ-di\\tno\\tntɛm","because\\tthat\\tFOC.H\\t3SG-be\\tsweet\\tso\\tH.FOC\\t3SG-like\\tthat\\t3SG-eat\\t3SG.OBJ\\tquick","because they were sweet, he wanted to eat them quickly",,,
454406,aka,Ankyɛ biara na ɔtee sɛ obi rebɔ ne pono mu,"a-n-kyɛ\\tbiara\\tna\\tɔ-te-e\\tsɛ\\tobi\\tre-bɔ\\tne\\tpono\\tmu","PAST-NEG-give\\tat_all\\tL\\t3SG-hear-PAST\\tthat\\tsomeone.OBJ\\tPROG-hit\\tPOSS.3SG\\tdoor\\tinside","Not long afterwards, he heard that someone was knocking at his door",,,
454407,aka,Na ɛyɛ  akyekyedeɛ na ɔrebɔ pono no mu,"na\\tɛ-yɛ\\takyekyedeɛ\\tna\\tɔ-re-bɔ\\tpono\\tno\\tmu","L\\t3SG-be\\tturtle\\tFOC.H\\t3SG-PROG-hit\\tdoor\\tDEF\\tinside",It was turtle who was knocking at the door,,,
454408,aka,Na akyekyedeɛ firi akwantuo mu nti na ɔaberɛ,"na\\takyekyedeɛ\\tfiri\\takwantuo\\tmu\\tnti\\tna\\tɔ-a-berɛ","FOC.H\\tturtle\\tcome_from\\tjourney\\tinside\\tso\\tFOC.H\\t3SG-PRF-tired",Turtle was returning from a journey so he was tired,,,
454409,aka,Afei nso na ɛkɔm de no yie,"afei\\tnso\\tna\\tɛkɔm\\tde\\tno\\tyie","now\\talso\\tFOC\\thunger.SBJ\\tuse\\t3SG.OBJ\\ta_lot",And also he was very hungry,,,
454410,aka,Akyekyedeɛ ka kyerɛɛ ananse sɛ ɔnam na bayerɛ bi pampan faa ne hwene mu,"akyekyedeɛ\\tka-kyerɛ-ɛ\\tananse\\tsɛ\\tɔ-nam\\tna\\tbayerɛ\\tbi\\tpampan\\tfa-a\\tne\\thwene\\tmu","turtle\\tsay-show-PAST\\tspider\\tthat\\t3SG-walk\\tCONJ.L\\tyam\\tINDEF\\tscent\\tpass-PAST\\tPOSS.3SG\\tnose\\tinside",Turtle told spider that he was walking around and he smelled the scent/aroma of yam,,,
454411,aka,na esiane sɛ ɛkɔm de no nti,"na\\tesiane\\tsɛ\\tɛkɔm\\tde\\tno\\tnti","L\\tbecause\\tthat\\thunger\\tuse\\t3SG.OBJ\\tso",and because he is hungry,,,
454412,aka,ɔyɛɛ n'adwene sɛ ɔbɛba abɛserɛ no,"ɔ-yɛ-ɛ\\tn'-adwene\\tsɛ\\tɔ-bɛ-ba\\ta-bɛ-serɛ\\tno","3SG-make-PAST\\tPOSS.3SG-mind\\tthat\\t3SG-VEN-come\\tCONS-VEN-beg\\t3SG",he made up his mind that he will come and beg him,,,
454413,aka,sɛ ɔbɛma no bi adi a,"sɛ\\tɔ-bɛ-ma\\tno\\tbi\\ta-di\\ta","if.COND\\t3SG-FUT.H-give\\t3SG\\tsome.INDEF.L\\tCONS-eat\\tCOND",if he will give him some to eat,,,
454414,aka,Na ɛyɛ amaneɛ wɔ kurom hɔ sɛ sɛ obi srɛ wo aduane a,"na\\tɛ-yɛ\\tamaneɛ\\twɔ\\tkuro-m\\thɔ\\tsɛ\\tsɛ\\tobi\\tsrɛ\\two\\taduane\\ta","H.FOC\\t3SG-be\\tcustom\\tLOC\\ttown-LOC\\tthere\\tthat\\tif.COND\\tsomeone.INDEF\\tbeg\\t2SG\\tfood\\tCOND",It was a custom in the town that if someone begs you for food...,,,
454415,aka,ɛsɛ sɛ wo ma no bi,"ɛsɛ\\tsɛ\\two\\tma\\tno\\tbi","it_is_right\\tthat\\t2SG\\tgive\\t3SG.OBJ\\tsome.INDEF.L",you have to give him/her some,,,
454416,aka,enti na ananse ntumi nka sɛ daabi,"enti\\tna\\tananse\\tn-tumi\\tn-ka\\tsɛ\\tdaabi","so\\tFOC.H\\tspider\\tNEG-able\\tNEG-say\\tthat\\tno",so ananse could not say no,,,
454417,aka,Ananse yɛ pɛsɛmenkomenya,"ananse\\tyɛ\\tpɛsɛmenkomenya","spider\\tbe\\tgreedy",ananse is greedy,,,
454418,aka,nti na ɔmpɛ sɛ ɔma akyekyedeɛ bayerɛ no bi di.,"nti\\tna\\tɔ-m-pɛ\\tsɛ\\tɔ-ma\\takyekyedeɛ\\tbayerɛ\\tno\\tbi\\tdi","so\\tH.FOC\\t3SG-NEG-like\\tthat\\t3SG-give\\tturtle.OBJind\\tyam.OBJ\\tDEF\\tsome.INDEF.L\\teat",so he did not want to give turtle some of the yam to eat,,,
454419,aka,ɔbɔɔ pɔ wɔ ne tiri mu sɛ ɔmma no ndi bayerɛ no bi.,"ɔ-bɔ-ɔ\\tpɔ\\twɔ\\tne\\ttiri\\tmu\\tsɛ\\tɔ-m-ma\\tno\\tn-di\\tbayerɛ\\tno\\tbi","3SG-tie-PAST\\tknot\\tLOC\\tPOSS.3SG\\thead\\tinside\\tthat\\t3SG-NEG-give\\t3SG\\tNEG-eat\\tyam.OBJ\\tDEF\\tsome.INDEF",he made a point in his mind that he will not allow turtle to eat some of the yam,,,
454420,aka,Ananse buee ɛpono no ma akyekyedeɛ wuraa ɛdan no mu,"ananse\\tbue-e\\tɛpono\\tno\\tma\\takyekyedeɛ\\twura-a\\tɛdan\\tno\\tmu","spider\\topen-PAST\\tdoor\\tDEF\\tgive.CAUS\\tturtle\\tenter-PAST\\troom\\tDEF\\tinside",Ananse opened the door for turtle to enter the room,,,
454421,aka,Na ɔmaa no akonwa tenaa so,"na\\tɔ-ma-a\\tno\\takonwa\\ttena-a\\tso","CONJ.L\\t3SG-give-PAST\\t3SG.OBJind\\tchair.OBJ\\tsit-PAST\\ton.LOC",and he gave him a chair to sit on (it),,,
454422,aka,Akyekyedeɛ tenee ne nsa sɛ ɔrebɛyi bayerɛ no bi pɛ,"akyekyedeɛ\\ttene-e\\tne\\tnsa\\tsɛ\\tɔ-re-bɛ-yi\\tbayerɛ\\tno\\tbi\\tpɛ","turtle\\tstretch-PAST\\tPOSS.3SG\\thand.OBJ\\tthat\\t3SG-PROG-FUT.H-remove\\tyam\\tDEF\\tsome.INDEF.L\\t","Just as turtle stretched his hand to remove some of the yam,",,,
454423,aka,na ananse teaa no kaa sɛ,"na\\tananse\\ttea-a\\tno\\tka-a\\tsɛ","CONJ.L\\tspider\\tshout-PAST\\t3SG.OBJ\\tsay-PAST\\tthat",and spider shouted at him saying that,,,
454424,aka,"""wonnim sɛ yɛhohoro yɛn nsa ansa na yadidi""","wo-n-nim\\tsɛ\\tyɛ-hohoro\\tyɛn\\tnsa\\tansa\\tna\\ty-a-di-di","2SG-NEG-know\\tthat\\t1PL.SBJ-wash\\t1PL\\thands\\tbefore\\tCONJ.L\\t1PL-PRF-REDP-eat",dont you know that we wash our hands before we eat?,,,
454425,aka,Akyekyedeɛ hwɛɛ ne nsa mu,"akyekyedeɛ\\thwɛ-ɛ\\tne\\tnsa\\tmu","turtle\\tlook-PAST\\tPOSS.3SG\\thand.OBJ\\tinside.LOC",Turtle looked at his palms,,,
454426,aka,ampa nso na emu ayɛ fi paa yie,"ampa\\tnso\\tna\\te-mu\\ta-yɛ\\tfi\\tpaa\\tyie","true\\talso.ADD\\tFOC\\t-inside\\tPRF-be\\tdirty\\tvery.DEG\\ta_lot","Truly, it was very dirty",,,
454427,aka,nti ɔsɔre kɔɔ nsuo bi a na ɛda hɔ ho,"nti\\tɔ-sɔre\\tkɔ-ɔ\\tnsuo\\tbi\\ta\\tna\\tɛ-da\\thɔ\\tho","so\\t3SG.SBJ-get_up\\tgo.VEN-PAST\\twater\\tINDEF\\tREL\\tL\\t3SG-lie\\tthere.DXS\\tside",so he got up and went to a river that was there,,,
454428,aka,sɛ ɔrekɔ hohoro ne nsa.,"sɛ\\tɔ-re-kɔ\\thohoro\\tne\\tnsa","that\\t3SG-PROG-VEN\\twash.REDP\\t3SG.POSS\\thand",that he was going to wash his hands,,,
454429,aka,ɔsan baa dan no mu no na ananse ahyɛ aseɛ redi aduane no,"ɔ+san\\tba-a\\tdan\\tno\\tmu\\tno\\tna\\tananse\\ta-hyɛ\\taseɛ\\tre-di\\taduane\\tno","again.3SG.SBJ\\tcome-PAST\\thouse\\tDEF\\tinside\\t3SG\\tFOC\\tspider\\tPRF-wear\\tstart\\tPROG-eat\\tfood\\tDEF","when he came back to the room, ananse had already started eating the food",,,
454430,aka,Ananse ka kyerɛɛ akyekyedeɛ sɛ,"ananse\\tka-kyerɛ-ɛ\\takyekyedeɛ\\tsɛ","spider\\tsay-show-PAST\\tturtle\\tthat",Ananse told turtle that...,,,
454431,aka,na ɔmpɛ sɛ aduane no bɛdwo,"na\\tɔ-m-pɛ\\tsɛ\\taduane\\tno\\tbɛ-dwo","FOC.H\\t3SG.SBJ-NEG-want.JUSS\\tthat\\tfood\\tDEF\\tFUT.H-get_cold",he didnt want the food to get cold,,,
454432,aka,nti na ɔhyɛɛ aseɛ dii aduane no,"nti\\tna\\tɔ-hyɛɛ aseɛ\\tdi-i\\taduane\\tno","so\\tCONS\\t3SG-start\\teat-PAST\\tfood.OBJ\\tDEF",that is why he started to eat the food,,,
454433,aka,nti sɛ ɔaba deɛ a ɔbɛtumi abɛdi bi,"nti\\tsɛ\\tɔ-a-ba\\tdeɛ\\ta\\tɔ-bɛ-tumi\\ta-bɛ-di\\tbi","so\\tif.COND\\t3SG.SBJ-PRF-come\\tTOP\\tCOND\\t3SG-VEN-able\\tPRF-VEN-eat\\tsome",so if he has come he can come and eat some,,,
454434,aka,Akyekyedeɛ tenaa ase biom,"akyekyedeɛ\\ttena-a\\tase\\tbiom","turtle\\tsit-PAST\\tdown\\tagain",Turtle sat down again,,,
454435,aka,nanso ɔsan tenee ne nsa sɛ ɔreyi aduane no bi pɛ,"nanso\\tɔ-san\\ttene-e\\tne\\tnsa\\tsɛ\\tɔ-re-yi\\taduane\\tno\\tbi\\tpɛ","but\\t3SG.SBJ-again\\tstretch-PAST\\tPOSS.3SG\\thand.OBJ\\tthat\\t3SG.SBJ-PROG-remove\\tfood.OBJ\\tDEF\\tsome.INDEF\\tas_soon_as","but again,  when he stretched his hand to take some of the food...",,,
454436,aka,na ananse san teaa mu bisaa no... ,"na\\tananse\\tsan\\ttea-a\\tmu\\tbisa-a\\tno","CONJ.L\\tspider\\tagain\\tshout-PAST\\tinside\\task-PAST\\t3SG.OBJ",spider again shouted and asked him ... ,,,
454437,aka,enti woante sɛ yɛmfa nsa fin ndidi,"enti\\two-a-n-te\\tsɛ\\tyɛ-m-fa\\tnsa\\tfin\\tn-di-di","so\\t2SG-PAST-NEG-hear\\tthat\\t1PL-NEG-take\\thand.OBJ\\tdirty\\tNEG-REDP-eat",so didn't you hear that we don't eat with dirty hands,,,
454438,aka,Akyekyedeɛ hwɛɛ ne nsa mu huu sɛ asan ayɛ fin biom,"akyekyedeɛ\\thwɛ-ɛ\\tne\\tnsa\\tmu\\thu-u\\tsɛ\\ta-san\\ta-yɛ\\tfin\\tbiom","turtle\\tlook-PAST\\tPOSS.3SG\\thand.OBJ\\tinside\\tsee-PAST\\tthat\\tPRF-repeat\\tCONS-be\\tdirty\\tagain",turtle looked at his hands and saw that it had become dirty again,,,
454439,aka,nti ɔsɔre san kɔɔ nsuo no ho sɛ ɔrekɔhohoro ne nsa.,"nti\\tɔ-sɔre\\tsan\\tkɔ-ɔ\\tnsuo\\tno\\tho\\tsɛ\\tɔ-re-kɔ-hohoro\\tne\\tnsa","so\\t3SG.SBJ-get_up\\tagain\\tgo.ITV-PAST\\twater\\tDEF\\tside\\tthat\\t3SG.SBJ-PROG-ITV-wash\\tPOSS.3SG\\thand.OBJ",so he got up again to go to the river side to wash his hands,,,
454440,aka,esiane sɛ na ɔmpɛ sɛ ne nsa mu bɛyɛ fin biom no nti,"esiane_sɛ\\tna\\tɔ-m-pɛ\\tsɛ\\tne\\tnsa\\tmu\\tbɛ-yɛ\\tfin\\tbiom\\tno\\tnti","because\\tFOC.H\\t3SG.SBJ-NEG-like\\tthat\\tPOSS.3SG\\thand.OBJ\\tinside.LOC\\tFUT.H-be\\tdirty\\tagain\\t3SG.OBJ\\tso",because he didnt want his hands to become dirty again so,,,
454441,aka,ɔwieeɛ no ɔnantee nsensan no so baa n'akyi,"ɔ-wie-eɛ\\tno\\tɔ-nante-e\\tnsensan\\tno\\tso\\tba-a\\tn-akyi","3SG.SBJ-finish-PAST\\tTER\\t3SG.SBJ-walk-PAST\\tgrass\\tDEF\\ton\\tcome-PAST\\tPOSS.3SG-back","when he finished, he walked on the grass on his way back",,,
454442,aka,sɛ deɛ ɛbɛyɛ a ne nsa mu nyɛ fin biom.,"sɛ\\tdeɛ\\tɛ-bɛ-yɛ\\ta\\tne\\tnsa\\tmu\\tn-yɛ\\tfin\\tbiom","if.COND\\tTOP\\t3SG-FUT.H-be\\tCOND\\tPOSS.3SG\\thand\\tinside\\tNEG-be\\tdirty\\tagain",so that his hands will not become dirty again,,,
454443,aka,Awerɛhosɛm ne sɛ ɔduruu dan no mu no,"awerɛho-sɛm\\tne\\tsɛ\\tɔ-duru-u\\tdan\\tno\\tmu","sad-issue\\t3SG.POSS\\tthat\\t3SG.SBJ-reach-PAST\\thouse\\tDEF\\tinside","sadly, when he got to the room...",,,
